epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7168,2.1818,3.61204,1.45758,0.00489,1,0.94361,0.40376,1.45395,3.22719,0.99242,0.00028,0.00028,0.00028
2,104.707,1.55857,1.61026,1.18729,0.00489,1,0.93195,0.29967,1.32293,3.14715,1.04164,0.00056086,0.00056086,0.00056086
3,157.126,1.53465,1.50005,1.21571,0.00489,1,0.01545,0.00673,1.41809,3.13732,1.09569,0.00082192,0.00082192,0.00082192
4,210.364,1.52435,1.43256,1.23492,0.00489,1,0.81602,0.48882,1.39251,2.87416,1.10503,0.00106318,0.00106318,0.00106318
5,263.234,1.50217,1.27457,1.20229,0.01359,0.98901,0.82544,0.46778,1.39289,2.73555,1.18061,0.00128464,0.00128464,0.00128464
6,315.175,1.45042,1.21269,1.22536,1,0.34956,0.98445,0.54685,1.37812,2.38139,1.28682,0.0014863,0.0014863,0.0014863
7,363.884,1.36534,1.17427,1.19393,0.99853,0.98901,0.9851,0.58123,1.36709,1.94194,1.25868,0.001604,0.001604,0.001604
8,406.777,1.39459,1.10044,1.19702,0.98362,0.97802,0.98783,0.58149,1.36849,1.37552,1.297,0.001538,0.001538,0.001538
9,451.754,1.41869,1.03584,1.19418,0.98899,0.98756,0.99413,0.59337,1.37981,1.22168,1.22747,0.001472,0.001472,0.001472
10,501.537,1.4214,0.99104,1.18869,0.99861,0.98901,0.98782,0.60305,1.35776,1.10359,1.17758,0.001406,0.001406,0.001406
11,544.285,1.39083,0.97699,1.17767,0.99853,0.98901,0.98882,0.62074,1.29991,0.99848,1.15064,0.00134,0.00134,0.00134
12,586.648,1.37117,0.91995,1.15715,0.99879,0.98901,0.99174,0.59426,1.34317,0.9339,1.15955,0.001274,0.001274,0.001274
13,629.568,1.33878,0.90148,1.13562,0.99749,0.98901,0.99035,0.61438,1.2908,0.95583,1.16519,0.001208,0.001208,0.001208
14,671.752,1.32015,0.82767,1.14784,0.9984,0.98901,0.9924,0.641,1.34027,0.98159,1.20397,0.001142,0.001142,0.001142
15,714.824,1.33599,0.83729,1.14574,0.98778,0.97802,0.99425,0.62415,1.32204,0.93409,1.19281,0.001076,0.001076,0.001076
16,757.988,1.34239,0.80201,1.16318,0.99928,0.98901,0.99383,0.64842,1.29327,0.82305,1.18277,0.00101,0.00101,0.00101
17,800.752,1.32899,0.80773,1.15864,0.99945,0.98901,0.99383,0.63789,1.32774,0.84958,1.21692,0.000944,0.000944,0.000944
18,847.343,1.30381,0.77185,1.17478,0.99919,0.98901,0.99448,0.6568,1.26437,0.73207,1.16374,0.000878,0.000878,0.000878
19,894.947,1.28476,0.74766,1.14092,0.99855,0.98901,0.99458,0.61927,1.31668,0.71542,1.17497,0.000812,0.000812,0.000812
20,942.338,1.30122,0.73156,1.1388,0.99831,0.98901,0.99458,0.64016,1.25005,0.70002,1.15643,0.000746,0.000746,0.000746
21,990.661,1.26673,0.85599,1.14995,0.99891,0.98901,0.99458,0.63699,1.29686,0.69866,1.13887,0.00068,0.00068,0.00068
22,1036.49,1.27646,0.80269,1.13508,0.999,0.98901,0.99392,0.63313,1.28318,0.70778,1.1689,0.000614,0.000614,0.000614
23,1078.51,1.25219,0.75803,1.12807,0.99875,0.98901,0.99429,0.63474,1.27602,0.67554,1.13049,0.000548,0.000548,0.000548
24,1120.82,1.23457,0.74116,1.10161,0.99852,0.98901,0.99429,0.63653,1.30004,0.65845,1.1528,0.000482,0.000482,0.000482
25,1162.76,1.23777,0.70079,1.11298,0.99869,0.98901,0.99438,0.64089,1.26365,0.64709,1.13797,0.000416,0.000416,0.000416
26,1205.23,1.24359,0.68781,1.11652,0.99897,0.98901,0.99438,0.62559,1.2919,0.65319,1.16406,0.00035,0.00035,0.00035
27,1247.47,1.23985,0.66383,1.12686,0.99909,0.98901,0.99458,0.64749,1.27266,0.62278,1.13833,0.000284,0.000284,0.000284
28,1293.45,1.23124,0.64913,1.11794,0.99907,0.98901,0.99478,0.6469,1.25983,0.61352,1.14015,0.000218,0.000218,0.000218
29,1342.59,1.18963,0.64235,1.10519,0.99903,0.98901,0.99468,0.64175,1.2654,0.60793,1.13696,0.000152,0.000152,0.000152
30,1391.48,1.2044,0.63869,1.11134,0.99918,0.98901,0.99468,0.64402,1.26589,0.60071,1.1306,8.6e-05,8.6e-05,8.6e-05
