epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9352,2.59283,3.89682,1.6963,0.00489,1,0.6843,0.36574,1.45994,3.079,0.98763,0.00028,0.00028,0.00028
2,6.86152,1.6196,1.8535,1.21484,0.00489,1,0.67312,0.312,1.33058,3.03347,1.00108,0.00056086,0.00056086,0.00056086
3,8.75773,1.56574,1.55884,1.23002,0.00489,1,0.24507,0.10598,1.3891,2.95318,1.06102,0.00082192,0.00082192,0.00082192
4,10.6187,1.51332,1.38769,1.21721,0.70398,0.03297,0.50659,0.26406,1.36182,2.76674,1.10546,0.00106318,0.00106318,0.00106318
5,12.4636,1.51741,1.33926,1.25519,0.78751,0.85714,0.88731,0.52338,1.36497,2.66024,1.14471,0.00128464,0.00128464,0.00128464
6,14.3132,1.50284,1.2215,1.21115,1,0.51965,0.97958,0.54835,1.41324,2.34332,1.17908,0.0014863,0.0014863,0.0014863
7,16.1581,1.44698,1.15656,1.20971,0.97813,0.98313,0.98469,0.57418,1.42905,1.68668,1.23102,0.001604,0.001604,0.001604
8,18.0042,1.47526,1.12604,1.2318,0.99079,0.9011,0.98278,0.55823,1.39892,1.61574,1.21769,0.001538,0.001538,0.001538
9,19.8335,1.42779,1.03793,1.19086,0.99851,0.98901,0.99468,0.59202,1.39849,1.22692,1.19381,0.001472,0.001472,0.001472
10,21.7364,1.4308,1.03227,1.21478,0.99644,0.98901,0.99205,0.57186,1.41342,1.02579,1.2453,0.001406,0.001406,0.001406
11,23.586,1.36957,0.96592,1.19379,0.99847,0.98901,0.99184,0.60961,1.32368,0.87081,1.24593,0.00134,0.00134,0.00134
12,25.4414,1.35163,0.92347,1.16917,0.99867,0.98901,0.98878,0.60861,1.35787,0.74162,1.18281,0.001274,0.001274,0.001274
13,27.3813,1.37402,0.91555,1.18096,0.99901,0.98901,0.99145,0.60765,1.34947,0.75605,1.19805,0.001208,0.001208,0.001208
14,29.2489,1.34382,0.83548,1.16573,0.99902,0.98901,0.98974,0.61987,1.34175,0.73143,1.20288,0.001142,0.001142,0.001142
15,31.1395,1.36947,0.83992,1.19137,0.99832,0.98901,0.99429,0.61287,1.32536,0.76639,1.20517,0.001076,0.001076,0.001076
16,32.9949,1.33592,0.81308,1.161,0.99882,0.98901,0.99367,0.62094,1.31392,0.70442,1.18615,0.00101,0.00101,0.00101
17,34.8212,1.37647,0.79092,1.18107,0.99899,0.98901,0.99011,0.62994,1.32411,0.69403,1.17009,0.000944,0.000944,0.000944
18,36.6634,1.30241,0.7503,1.1492,0.99941,0.98901,0.98507,0.61947,1.35049,0.71905,1.24103,0.000878,0.000878,0.000878
19,38.5073,1.33995,0.78321,1.17052,0.99887,0.98901,0.99401,0.6245,1.30659,0.6769,1.20304,0.000812,0.000812,0.000812
20,40.3384,1.33171,0.78961,1.16819,0.99887,0.98901,0.99429,0.634,1.29136,0.63876,1.16952,0.000746,0.000746,0.000746
21,47.5271,1.24022,0.85878,1.13144,0.99856,0.98901,0.99429,0.62213,1.33871,0.73363,1.17152,0.00068,0.00068,0.00068
22,49.3504,1.26961,0.78638,1.16025,0.99897,0.98901,0.98514,0.63886,1.31191,0.68987,1.15725,0.000614,0.000614,0.000614
23,51.1563,1.24962,0.75828,1.15072,0.99898,0.98901,0.98831,0.63289,1.28856,0.6447,1.14197,0.000548,0.000548,0.000548
24,52.9539,1.23347,0.71055,1.1421,0.99906,0.98901,0.99468,0.6359,1.27865,0.59592,1.17549,0.000482,0.000482,0.000482
25,54.7338,1.22114,0.71165,1.14614,0.99897,0.98901,0.99468,0.62074,1.31958,0.61061,1.21795,0.000416,0.000416,0.000416
26,56.5263,1.24088,0.71355,1.15554,0.99882,0.98901,0.99478,0.6315,1.2863,0.58027,1.19375,0.00035,0.00035,0.00035
27,58.3181,1.23922,0.6882,1.15559,1,0.99904,0.995,0.62003,1.31545,0.55719,1.21357,0.000284,0.000284,0.000284
28,60.1101,1.21919,0.67488,1.11919,1,0.99916,0.995,0.63134,1.29381,0.53524,1.16921,0.000218,0.000218,0.000218
29,61.8721,1.216,0.66349,1.11885,1,0.99919,0.995,0.62647,1.29359,0.52651,1.17112,0.000152,0.000152,0.000152
30,63.679,1.20389,0.65108,1.09919,1,0.99917,0.995,0.63581,1.28775,0.51841,1.17189,8.6e-05,8.6e-05,8.6e-05
