epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62432,2.58428,3.89353,1.68575,0.00489,1,0.82402,0.40415,1.44226,3.05923,0.98535,0.00028,0.00028,0.00028
2,6.5998,1.61704,1.85364,1.21283,0.00489,1,0.58371,0.24312,1.34233,3.10693,1.02278,0.00056086,0.00056086,0.00056086
3,8.53927,1.54272,1.528,1.22668,0.00489,1,0.06719,0.01942,1.38986,3.02913,1.07442,0.00082192,0.00082192,0.00082192
4,10.4453,1.49901,1.38683,1.22137,0.00489,1,0.56441,0.24988,1.37388,2.85681,1.09632,0.00106318,0.00106318,0.00106318
5,12.3221,1.53436,1.33833,1.25506,0.00484,0.98901,0.85549,0.468,1.3717,2.68785,1.13569,0.00128464,0.00128464,0.00128464
6,14.1934,1.49964,1.26093,1.19379,1,0.54631,0.98103,0.54467,1.41156,2.31534,1.11679,0.0014863,0.0014863,0.0014863
7,16.0349,1.48625,1.20606,1.2265,1,0.73589,0.94064,0.47634,1.64997,2.07871,1.37241,0.001604,0.001604,0.001604
8,17.9382,1.50864,1.1907,1.26065,0.97561,0.74725,0.85197,0.46262,1.58524,1.9176,1.33762,0.001538,0.001538,0.001538
9,19.7801,1.4492,1.1133,1.20357,1,0.98441,0.9941,0.62322,1.34488,1.24016,1.10281,0.001472,0.001472,0.001472
10,21.6338,1.42185,1.06238,1.20422,0.99661,0.98901,0.98513,0.59904,1.3546,1.01046,1.13684,0.001406,0.001406,0.001406
11,23.4949,1.37691,1.01375,1.1976,0.9977,0.98901,0.98504,0.5984,1.35063,0.89527,1.20719,0.00134,0.00134,0.00134
12,25.4795,1.36032,0.93763,1.18848,0.98676,0.98901,0.99392,0.59219,1.40238,0.83665,1.19029,0.001274,0.001274,0.001274
13,27.3128,1.38877,0.93702,1.18359,1,0.98639,0.99438,0.59887,1.36048,0.7255,1.18878,0.001208,0.001208,0.001208
14,29.1477,1.36069,0.85285,1.17256,1,0.99793,0.995,0.56502,1.45629,0.75074,1.30968,0.001142,0.001142,0.001142
15,31.0209,1.39828,0.8565,1.20414,0.99772,0.98901,0.99478,0.60389,1.35299,0.74721,1.22253,0.001076,0.001076,0.001076
16,32.8844,1.37342,0.83781,1.1755,0.99912,0.98901,0.99448,0.62288,1.34328,0.64372,1.16172,0.00101,0.00101,0.00101
17,34.793,1.38796,0.82234,1.1831,0.99834,0.98901,0.99419,0.61816,1.32678,0.65706,1.17377,0.000944,0.000944,0.000944
18,36.6728,1.33202,0.76924,1.16465,0.99896,0.98901,0.99438,0.59852,1.40131,0.68164,1.24309,0.000878,0.000878,0.000878
19,38.5663,1.34442,0.78289,1.17705,0.99879,0.98901,0.99489,0.60912,1.37618,0.66355,1.21901,0.000812,0.000812,0.000812
20,40.4791,1.34215,0.77715,1.16476,0.99883,0.98901,0.99458,0.61796,1.2955,0.65351,1.1484,0.000746,0.000746,0.000746
21,48.1367,1.2571,0.84207,1.14409,0.99851,0.98901,0.99489,0.616,1.36242,0.71358,1.22322,0.00068,0.00068,0.00068
22,50.029,1.26061,0.79264,1.15676,0.99899,0.98901,0.99489,0.63539,1.30254,0.61217,1.15444,0.000614,0.000614,0.000614
23,51.8741,1.24691,0.74228,1.14945,0.99898,0.98901,0.99478,0.6299,1.27545,0.59439,1.13887,0.000548,0.000548,0.000548
24,53.7249,1.2489,0.71497,1.13999,0.99838,0.98901,0.99438,0.62988,1.29378,0.57768,1.14692,0.000482,0.000482,0.000482
25,55.5371,1.2352,0.70268,1.13539,0.9987,0.98901,0.99419,0.61639,1.33529,0.60205,1.18338,0.000416,0.000416,0.000416
26,57.3867,1.24935,0.7139,1.14284,0.99869,0.98901,0.99468,0.62375,1.30366,0.57135,1.166,0.00035,0.00035,0.00035
27,59.2075,1.24537,0.69669,1.14791,0.99856,0.98901,0.99478,0.60733,1.31287,0.55053,1.19697,0.000284,0.000284,0.000284
28,61.0993,1.22969,0.6848,1.11413,0.99879,0.98901,0.99478,0.62571,1.29386,0.54551,1.16229,0.000218,0.000218,0.000218
29,62.906,1.20579,0.67318,1.11287,0.99881,0.98901,0.99478,0.62918,1.28186,0.53171,1.1673,0.000152,0.000152,0.000152
30,64.7543,1.21653,0.65347,1.10758,0.99885,0.98901,0.99478,0.63073,1.27635,0.52958,1.1661,8.6e-05,8.6e-05,8.6e-05
